                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.2351,                 1.1649,                 1.4177,                 0.7496,                0.72246,                 0.7954,                0.42552,                 1.5206,                 1.1975,                 1.6315,             0.00021607,             0.00021607,             0.00021607
                     80,                 1.2225,                 1.1594,                 1.4049,                0.71152,                0.74788,                0.77379,                0.44642,                 1.4882,                  1.194,                  1.607,             0.00020707,             0.00020707,             0.00020707
                     81,                 1.2223,                 1.1295,                 1.3927,                0.73833,                0.73659,                0.77965,                0.43491,                  1.543,                 1.1874,                 1.6471,             0.00019807,             0.00019807,             0.00019807
                     82,                 1.1996,                 1.1125,                 1.3911,                0.78352,                0.70636,                0.78585,                0.42991,                 1.5132,                 1.1822,                 1.6403,             0.00018907,             0.00018907,             0.00018907
                     83,                  1.225,                 1.1438,                 1.4063,                0.74558,                0.75613,                 0.7827,                0.42769,                 1.5108,                 1.1703,                 1.6329,             0.00018007,             0.00018007,             0.00018007
                     84,                  1.225,                 1.1471,                  1.413,                0.77973,                0.73495,                0.78279,                 0.4249,                 1.5523,                 1.2027,                 1.6645,             0.00017107,             0.00017107,             0.00017107
                     85,                 1.2158,                 1.1312,                 1.4052,                0.79665,                0.71643,                0.77679,                0.42733,                 1.5141,                 1.1907,                 1.6464,             0.00016207,             0.00016207,             0.00016207
                     86,                 1.2274,                 1.1152,                 1.4003,                0.70584,                0.74437,                0.77694,                0.42777,                 1.5504,                 1.1944,                   1.67,             0.00015308,             0.00015308,             0.00015308
                     87,                 1.1993,                 1.1217,                 1.3889,                0.79501,                0.70039,                0.78547,                0.44034,                 1.5221,                 1.1781,                  1.651,             0.00014408,             0.00014408,             0.00014408
                     88,                 1.1995,                 1.1067,                 1.3949,                0.71376,                0.74033,                0.76553,                0.42866,                 1.5362,                 1.1881,                 1.6608,             0.00013508,             0.00013508,             0.00013508
                     89,                 1.1908,                 1.1081,                 1.3933,                0.75899,                0.73377,                0.77793,                0.43401,                 1.5086,                 1.1679,                 1.6528,             0.00012608,             0.00012608,             0.00012608
                     90,                 1.1834,                 1.0989,                 1.3852,                0.78219,                0.76956,                0.79439,                0.43618,                 1.5191,                 1.1647,                 1.6491,             0.00011708,             0.00011708,             0.00011708
                     91,                 1.2073,                 1.0622,                 1.4302,                0.74144,                0.74576,                0.78077,                0.42281,                 1.5845,                 1.1624,                 1.7047,             0.00010808,             0.00010808,             0.00010808
                     92,                 1.1786,                 1.0181,                 1.4057,                0.77394,                0.73989,                0.79701,                0.42407,                 1.5762,                 1.1764,                 1.7009,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                 1.1541,                0.99279,                  1.389,                0.74717,                0.75855,                0.78973,                0.42812,                 1.5624,                 1.1667,                 1.7037,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                 1.1574,                0.99546,                 1.4101,                0.80521,                 0.7361,                0.80146,                0.43106,                 1.5521,                 1.1654,                 1.6752,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                 1.1358,                 0.9777,                 1.3813,                0.74022,                0.74875,                0.78661,                0.43466,                 1.5742,                 1.1604,                 1.7016,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                 1.1339,                0.96995,                  1.372,                0.79162,                0.73053,                0.78891,                0.43144,                 1.5777,                 1.1623,                 1.7072,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                   1.13,                0.96524,                 1.3885,                0.79596,                0.73341,                0.79044,                0.43226,                 1.5462,                 1.1655,                 1.6854,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                 1.1177,                  0.943,                 1.3756,                0.76567,                0.77115,                0.79188,                0.42758,                 1.5797,                  1.149,                 1.7092,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                 1.1326,                0.94333,                 1.3839,                0.74034,                0.78099,                0.79234,                0.43782,                 1.5597,                 1.1545,                 1.6919,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                 1.1253,                0.93973,                 1.3813,                0.76547,                0.76705,                0.79551,                0.43476,                 1.5593,                 1.1439,                 1.6935,             2.7088e-05,             2.7088e-05,             2.7088e-05
